City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Olafsvik,IS,2021-09-17 00:04:06,64.8945,-23.7142,44.51,81,85,21.07
117,Yulara,AU,2021-09-17 00:04:07,-25.2406,130.9889,71.82,32,99,9.91
118,Gambo,CF,2021-09-17 00:04:08,4.6482,22.2633,69.17,99,100,1.39
119,Atuona,PF,2021-09-17 00:04:08,-9.8,-139.0333,77.18,79,15,15.46
120,Lompoc,US,2021-09-17 00:04:09,34.6391,-120.4579,72.57,75,1,11.5
121,La Ronge,CA,2021-09-17 00:04:09,55.1001,-105.2842,38.77,96,100,17.85
122,Geraldton,AU,2021-09-17 00:04:10,-28.7667,114.6,54.01,87,75,0.0
123,Nichlaul,IN,2021-09-17 00:04:10,27.3167,83.7333,73.81,92,100,13.98
124,Wajid,SO,2021-09-17 00:04:11,3.8093,43.2471,74.62,70,23,16.67
125,Airai,TL,2021-09-17 00:04:11,-8.9266,125.4092,70.86,33,63,4.43
126,Jamestown,US,2021-09-16 23:59:59,42.097,-79.2353,70.02,80,31,5.01
127,Olney,US,2021-09-17 00:04:12,39.1532,-77.0669,72.86,94,90,1.01
128,Henties Bay,NA,2021-09-17 00:04:12,-22.116,14.2845,52.86,90,16,2.53
129,Mwene-Ditu,CD,2021-09-17 00:04:13,-7.0,23.45,69.08,81,100,4.41
130,Rincon,US,2021-09-17 00:04:13,32.296,-81.2354,78.85,100,75,0.0
131,Shush,IR,2021-09-17 00:04:14,32.1942,48.2436,84.74,19,0,4.14
132,Victoria,HK,2021-09-17 00:04:06,22.2855,114.1577,84.96,82,49,1.01
133,Revda,RU,2021-09-17 00:04:14,56.801,59.9303,40.01,97,100,10.36
134,Jammal,TN,2021-09-17 00:04:15,35.6223,10.757,78.48,78,0,6.91
135,West Bay,KY,2021-09-17 00:04:15,19.3667,-81.4167,85.06,82,100,3.0
136,Fundata,RO,2021-09-17 00:04:16,45.4367,25.2751,56.88,60,52,3.51
137,Kalabo,ZM,2021-09-17 00:04:16,-14.97,22.6814,74.55,26,71,2.44
138,Nelson Bay,AU,2021-09-17 00:04:16,-32.7167,152.15,66.29,68,2,1.99
139,Berlin,DE,2021-09-17 00:02:08,52.5244,13.4105,62.1,84,40,10.0
140,Gazojak,TM,2021-09-17 00:04:17,41.1875,61.4036,76.95,19,0,9.15
141,Boyuibe,BO,2021-09-17 00:04:18,-20.4167,-63.2833,60.42,50,72,2.68
142,Chuy,UY,2021-09-17 00:04:18,-33.6971,-53.4616,53.38,80,0,6.6
143,Vanavara,RU,2021-09-17 00:04:18,60.34,102.2797,33.04,93,33,2.64
