City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Santo Antonio Do Ica,BR,77.11,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
304,Waingapu,ID,87.03,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
305,Vanimo,PG,82.22,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
307,Airai,TL,75.45,few clouds,-8.9266,125.4092,Juvinal Martin
309,Shushtar,IR,86.65,clear sky,32.0455,48.8567,چاپ یاس کبود
310,Cururupu,BR,76.26,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
319,Buchanan,LR,75.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
321,Avera,US,79.72,overcast clouds,33.194,-82.5271,
322,Zhuhai,CN,89.71,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
325,Upata,VE,75.13,overcast clouds,8.0086,-62.3989,Posada Villa Nela
328,Dhidhdhoo,MV,82.08,broken clouds,6.8833,73.1,Dhidhoo beach
329,Fukue,JP,79.16,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
330,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
332,Davila,PH,87.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
337,Wanning,CN,85.93,light rain,18.8003,110.3967,Paradise Hotel
340,Rudbar,AF,77.59,overcast clouds,30.15,62.6,
344,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
346,Sarai Naurang,PK,88.72,clear sky,32.8259,70.7814,Taj Mahal hotel
347,Barao De Melgaco,BR,86.52,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
351,Hamilton,US,79.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
352,Waddan,LY,79.2,clear sky,29.1614,16.139,محل الشريف محمد العايب
353,Veraval,IN,80.44,overcast clouds,20.9,70.3667,Lords Inn Somnath
355,Winnemucca,US,78.85,haze,40.973,-117.7357,Winners Inn Casino
364,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
365,Merauke,ID,82.29,overcast clouds,-8.4667,140.3333,
377,Cuencame,MX,75.69,few clouds,24.8711,-103.6964,Hotel La Casa Del Viajero
379,Hobyo,SO,77.5,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
390,Mangrol,IN,80.42,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
392,Scottsbluff,US,84.43,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
393,Canto Do Buriti,BR,76.69,clear sky,-8.11,-42.9444,Novo Hotel
396,Sabang,ID,81.7,overcast clouds,5.8933,95.3214,Hotel Citra
397,Kavieng,PG,83.21,moderate rain,-2.5744,150.7967,Nusa Island Retreat
399,Matara,LK,80.92,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
402,Nouadhibou,MR,75.38,overcast clouds,20.931,-17.0347,El Medina
403,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
413,Campo Maior,BR,83.26,scattered clouds,-4.8278,-42.1686,Elite Hotel
416,Miramar,US,84.22,broken clouds,25.9873,-80.2323,Miramar
417,Nassau,US,79.66,few clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
419,Labuan,MY,87.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
421,Makakilo City,US,88.12,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
422,Khorramshahr,IR,82.36,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
424,Harij,IN,82.83,overcast clouds,23.7,71.9,"SHIV SHAKTI SOCIETY, Harij,Gujarat 384240"
425,Mae Sot,TH,78.75,few clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
426,Yuyao,CN,80.37,clear sky,30.05,121.1494,Grand Pacific Hotel Ningbo
429,Yangjiang,CN,85.15,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
434,Clifton,US,78.42,clear sky,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
435,Siparia,TT,78.66,clear sky,10.1333,-61.5,Brook Gardens
443,Jetalsar,IN,76.8,overcast clouds,21.7,70.5833,OYO 64696 Hotel Zayka
445,Qui Nhon,VN,78.78,heavy intensity rain,13.7667,109.2333,Hoang Yen Canary Hotel
446,Baguanos,CU,80.89,overcast clouds,20.7517,-76.0269,Magalis y William
